Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
District - Kancheepuram,Rural,15-34,29666,14837,14829,5744,2818,2926,1504,819,685,18566,8322,10244,506,308,198,64,38,26,552,202,350,3784,2236,1548,24,2,22,3838,1936,1902,0,0,0,444,302,142,866,862,4,268,222,46,2,2,0,100,72,28,114,88,26,552,358,194,332,182,150,604,154,450,3290,1550,1740
District - Kancheepuram,Rural,35-59,32392,15231,17161,6382,2660,3722,1979,1154,825,27085,12079,15006,912,534,378,58,48,10,714,312,402,1074,696,378,66,54,12,4322,1698,2624,0,0,0,322,200,122,392,376,16,104,54,50,0,0,0,2,2,0,24,24,0,436,238,198,138,52,86,380,98,282,766,272,494
District - Kancheepuram,Rural,60+,6687,3765,2922,1550,761,789,508,337,171,6089,3425,2664,168,108,60,6,6,0,172,104,68,32,18,14,0,0,0,808,310,498,0,0,0,38,14,24,22,14,8,20,12,8,0,0,0,12,12,0,6,6,0,30,24,6,4,0,4,60,24,36,262,112,150
District - Kancheepuram,Rural,Unknown,132,84,48,15,7,8,9,2,7,38,13,25,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0,8,2,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,68,50,18
District - Kancheepuram,Urban,15-34,10414,6118,4296,1800,1124,676,145,75,70,1631,928,703,164,114,50,63,44,19,237,112,125,2123,1232,891,46,41,5,1955,1497,458,0,0,0,402,278,124,589,580,9,118,90,28,0,0,0,143,99,44,94,80,14,508,370,138,221,59,162,131,22,109,3644,1621,2023
District - Kancheepuram,Urban,35-59,8887,5141,3746,1787,1041,746,168,112,56,2577,1356,1221,333,243,90,75,45,30,318,174,144,1011,663,348,51,35,16,2604,1854,750,0,0,0,402,241,161,506,479,27,147,78,69,0,0,0,39,34,5,111,96,15,374,288,86,180,60,120,197,41,156,1581,383,1198
District - Kancheepuram,Urban,60+,1273,773,500,300,195,105,44,29,15,478,291,187,112,85,27,9,9,0,37,27,10,55,37,18,6,3,3,274,177,97,0,0,0,58,32,26,18,18,0,23,14,9,0,0,0,6,6,0,13,11,2,70,62,8,16,9,7,26,9,17,328,149,179
District - Kancheepuram,Urban,Unknown,24,12,12,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5
District - Vellore,Total,15-34,31600,16601,14999,6926,3313,3613,802,397,405,16200,7122,9078,721,418,303,21,16,5,1286,375,911,5523,3182,2341,67,61,6,5718,3381,2337,6,3,3,973,773,200,957,941,16,276,262,14,7,7,0,170,122,48,187,169,18,434,307,127,645,242,403,541,131,410,3992,2005,1987
District - Vellore,Total,35-59,32983,16164,16819,8137,3530,4607,1041,542,499,23034,10438,12596,1369,806,563,36,21,15,1484,588,896,2775,1747,1028,38,30,8,6620,2786,3834,0,0,0,827,619,208,585,562,23,233,165,68,0,0,0,38,30,8,139,128,11,444,315,129,245,85,160,507,127,380,1705,705,1000
District - Vellore,Total,60+,5842,3417,2425,1650,857,793,288,194,94,4743,2723,2020,307,223,84,12,9,3,236,118,118,311,221,90,0,0,0,855,402,453,0,0,0,116,69,47,20,18,2,24,18,6,0,0,0,8,8,0,11,9,2,51,35,16,22,6,16,88,32,56,400,189,211
District - Vellore,Total,Unknown,50,22,28,15,7,8,2,2,0,18,10,8,0,0,0,0,0,0,2,2,0,4,0,4,0,0,0,18,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,3,0,3,12,3,9
District - Vellore,Rural,15-34,24991,12726,12265,5223,2348,2875,733,364,369,14849,6545,8304,647,377,270,10,7,3,968,263,705,3871,2197,1674,38,38,0,4431,2356,2075,6,3,3,579,467,112,604,594,10,198,191,7,7,7,0,114,83,31,112,102,10,228,174,54,344,113,231,356,103,253,2119,1090,1029
District - Vellore,Rural,35-59,27233,12903,14330,6245,2562,3683,982,504,478,20920,9468,11452,1141,695,446,32,21,11,1068,376,692,1666,1050,616,20,18,2,5155,1850,3305,0,0,0,418,322,96,299,287,12,122,91,31,0,0,0,18,18,0,74,65,9,292,204,88,109,33,76,341,100,241,821,363,458
District - Vellore,Rural,60+,4975,2889,2086,1356,702,654,273,184,89,4317,2481,1836,240,163,77,9,6,3,166,84,82,207,137,70,0,0,0,740,343,397,0,0,0,57,34,23,6,6,0,10,6,4,0,0,0,6,6,0,3,3,0,36,24,12,2,0,2,54,26,28,205,88,117
District - Vellore,Rural,Unknown,37,14,23,15,7,8,2,2,0,14,8,6,0,0,0,0,0,0,2,2,0,4,0,4,0,0,0,18,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,3,6,0,6
District - Vellore,Urban,15-34,6609,3875,2734,1703,965,738,69,33,36,1351,577,774,74,41,33,11,9,2,318,112,206,1652,985,667,29,23,6,1287,1025,262,0,0,0,394,306,88,353,347,6,78,71,7,0,0,0,56,39,17,75,67,8,206,133,73,301,129,172,185,28,157,1873,915,958
District - Vellore,Urban,35-59,5750,3261,2489,1892,968,924,59,38,21,2114,970,1144,228,111,117,4,0,4,416,212,204,1109,697,412,18,12,6,1465,936,529,0,0,0,409,297,112,286,275,11,111,74,37,0,0,0,20,12,8,65,63,2,152,111,41,136,52,84,166,27,139,884,342,542
